playerID,season,games,timeOnIce,points,goals,assists,shots 
8475791,20102011,65,1183:38,42,22,20,186
8475791,20112012,61,1111:20,53,27,26,207
8475791,20122013,45,837:55,50,16,34,154
8475791,20132014,75,1501:02,80,27,53,250
8475791,20142015,53,1018:39,38,14,24,158
8475791,20152016,82,1574:45,65,26,39,286
8475791,20162017,72,1391:50,53,20,33,238
8475791,20172018,76,1454:46,93,39,54,278
8475791,20182019,33,649:40,37,11,26,113
8471233,20062007,80,1283:23,42,17,25,134
8471233,20072008,82,1372:23,34,14,20,155
8471233,20082009,82,1529:07,62,20,42,185
8471233,20092010,82,1657:41,67,25,42,210
8471233,20102011,82,1622:12,44,13,31,173
8471233,20112012,15,260:37,6,2,4,25
8471233,20122013,48,937:35,20,7,13,82
8471233,20132014,80,1624:52,48,18,30,165
8471233,20142015,74,1410:52,25,11,14,112
8471233,20152016,74,1469:04,42,14,28,111
8471233,20162017,80,1578:02,45,14,31,126
8471233,20172018,63,1128:12,26,12,14,91
8471233,20182019,80,1541:40,46,19,27,120
8472382,20062007,23,327:45,6,1,5,23
8472382,20072008,59,1150:52,10,2,8,50
8472382,20082009,49,798:15,9,2,7,38
8472382,20092010,78,1835:35,37,6,31,86
8472382,20102011,82,1833:35,23,4,19,91
8472382,20112012,56,1092:18,16,1,15,53
8472382,20122013,48,1105:58,16,4,12,63
8472382,20132014,82,2015:25,32,8,24,134
8472382,20142015,82,1930:37,22,3,19,83
8472382,20152016,82,1882:05,13,4,9,63
8472382,20162017,66,1448:18,13,4,9,83
8472382,20172018,81,1711:02,13,3,10,93
8472382,20182019,82,1708:22,25,5,20,104
8474056,20092010,2,40:12,2,0,2,4
8474056,20102011,77,1714:41,38,14,24,197
8474056,20112012,81,1968:28,36,7,29,205
8474056,20122013,42,976:15,38,11,27,126
8474056,20132014,82,2018:32,53,10,43,204
8474056,20142015,82,2148:40,60,15,45,170
8474056,20152016,68,1792:38,51,6,45,176
8474056,20162017,66,1610:40,40,10,30,142
8474056,20172018,82,1977:24,59,16,43,207
8474056,20182019,63,1427:51,31,9,22,168
8474190,20082009,82,1134:41,23,9,14,127
8474190,20092010,78,1129:27,40,16,24,127
8474190,20102011,80,1076:24,30,14,16,117
8474190,20112012,82,1304:38,49,28,21,197
8474190,20122013,45,703:41,32,15,17,110
8474190,20132014,82,1375:10,60,29,31,209
8474190,20142015,75,1260:35,50,28,22,188
8474190,20152016,81,1395:58,60,32,28,229
8474190,20162017,82,1555:43,54,31,23,224
8474190,20172018,75,1356:34,46,24,22,176
8474190,20182019,62,1025:59,27,16,11,136
8474190,20182019,17,211:39,3,1,2,21
8475151,20102011,10,86:52,1,1,0,10
8475151,20112012,18,207:22,7,4,3,34
8475151,20122013,42,517:44,21,10,11,92
8475151,20132014,71,847:54,31,14,17,147
8475151,20142015,57,803:31,29,14,15,112
8475151,20152016,82,1460:00,57,30,27,222
8475151,20162017,80,1387:55,53,26,27,192
8475151,20172018,62,1073:12,44,24,20,181
8475151,20182019,74,1343:29,50,27,23,224
8475222,20122013,8,126:33,2,2,0,6
8475222,20132014,48,837:40,21,6,15,73
8475222,20142015,67,1437:57,37,12,25,122
8475222,20152016,71,1513:17,38,9,29,140
8475222,20162017,71,1538:09,24,3,21,117
8475222,20172018,15,316:35,4,1,3,22
8475222,20172018,57,1296:18,28,3,25,123
8475222,20182019,50,1086:25,17,4,13,107
8476399,20162017,23,295:28,2,1,1,29
8476399,20172018,79,1137:15,25,13,12,146
8476399,20182019,78,1326:57,36,22,14,213
